time,open,high,low,close,ATR,Plot,Plot,Plot,Plot,Higher Low,Higher High,Lower Low,Lower High,Volume,Volume MA,%K,%D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-08-29T17:00:00Z,12548.9,12578.5,12545.2,12559.7,46.70999098704159,12504.302195451746,12501.830818501758,12573.405051525166,12702.476803027488,0,0,0,0,NaN,NaN,76.15526802218172,65.86568083795447,61.73441025696477,54.16909501671969,NaN,NaN
2022-08-29T17:15:00Z,12559.9,12560.3,12524.1,12545.9,45.959277345109975,12508.263891123008,12503.559021697767,12572.860397039518,12700.91882488791,0,0,0,0,NaN,NaN,67.65249537892777,71.43150544259618,58.62517695210034,54.151521733908524,NaN,NaN
2022-08-29T17:30:00Z,12546.4,12585.8,12539.3,12584,45.99790039188783,12515.476853873197,12506.713569866482,12573.080983236756,12699.75545349599,0,0,0,0,NaN,NaN,91.12754158964898,78.3117683302528,64.01395934219099,54.37742922527031,NaN,NaN
2022-08-29T17:45:00Z,12583.1,12594.7,12553.3,12563.4,45.66947893532451,12520.04096302813,12508.93656712662,12572.889280598405,12698.398682814439,0,0,0,1,NaN,NaN,80.26481715006241,79.68161803954638,59.5015382717588,54.08596654076862,NaN,NaN
2022-08-29T18:00:00Z,12563.8,12564.9,12531.8,12536.9,44.77165901137278,12521.64658559688,12510.033172337342,12572.176621576655,12696.791730746634,0,0,0,0,NaN,NaN,63.556116015131806,78.3161582516144,54.207826849018176,54.214915333188394,NaN,NaN
2022-08-29T18:15:00Z,12536.2,12540.4,12514.5,12527.6,43.423683367703276,12522.213577444796,12510.722067539798,12571.2939161989,12695.108230938209,0,0,0,0,NaN,NaN,57.69230769230756,67.17108028583392,52.44441767915614,54.821867171098795,NaN,NaN
2022-08-29T18:30:00Z,12527.8,12557.9,12526.1,12554.1,42.593420270010135,12525.250379592911,12512.423162930394,12570.953442610802,12693.7051639637,0,0,0,0,NaN,NaN,74.0740740740739,65.10749926050443,56.76076793388912,55.69622167498114,NaN,NaN
2022-08-29T18:45:00Z,12554.2,12555.9,12510.1,12543.2,42.822461679295074,12526.959867250729,12513.630097717438,12570.403869489795,12692.207600143165,0,0,0,0,NaN,NaN,67.11366538952754,66.29334905196967,54.56690347986453,56.36506157757782,NaN,NaN
2022-08-29T19:00:00Z,12542.3,12583.7,12540.5,12573.8,42.849428702202616,12531.420832274469,12515.989701728518,12570.471119598908,12691.029415067114,0,0,0,0,NaN,NaN,85.96373404969694,75.71715783776614,59.32044541920104,57.50165936487624,NaN,NaN
2022-08-29T19:15:00Z,12573.8,12582.7,12537.5,12541.9,43.017326652045334,12532.41884824833,12517.00579185681,12569.905354854374,12689.545540290326,0,0,0,0,NaN,NaN,50.92936802973893,68.0022558229878,53.0849579586378,57.46425265299361,NaN,NaN
2022-08-29T19:30:00Z,12542.7,12559.7,12527.3,12554.4,42.258946176899336,12534.512291272298,12518.472231391837,12569.598318124585,12688.200808546144,0,0,0,0,NaN,NaN,62.5464684014861,66.479856826974,55.07761617555298,57.24736415837527,NaN,NaN
2022-08-29T19:45:00Z,12554.4,12554.4,12474.5,12483,44.94759287854936,12529.606358770174,12517.081163494118,12567.8834999439,12686.159009456132,0,0,0,0,NaN,NaN,7.0715474209650155,40.18246128406336,43.66829465879939,56.36117222321717,NaN,NaN
