time,open,high,low,close
2021-11-02T00:00:00+01:00,4616.2,4616.4,4611.9,4611.9
2021-11-02T01:00:00+01:00,4612,4613.1,4610.5,4612
2021-11-02T02:00:00+01:00,4612,4614.3,4606.7,4607.5
2021-11-02T03:00:00+01:00,4607.4,4608.7,4603.7,4604.4
2021-11-02T04:00:00+01:00,4604.4,4605.6,4602.1,4605
2021-11-02T05:00:00+01:00,4605.1,4606.4,4604.6,4604.9
2021-11-02T06:00:00+01:00,4604.9,4611.4,4603.5,4609.5
2021-11-02T07:00:00+01:00,4609.6,4612.4,4606.9,4611.6
2021-11-02T08:00:00+01:00,4611.5,4614.9,4610,4613
2021-11-02T09:00:00+01:00,4613.1,4614.9,4609.3,4609.5
2021-11-02T10:00:00+01:00,4609.6,4613.6,4607.4,4612
2021-11-02T11:00:00+01:00,4612.2,4614.4,4609,4614.4
2021-11-02T12:00:00+01:00,4614.4,4617.4,4612.5,4615.3
2021-11-02T13:00:00+01:00,4615.2,4618.5,4615,4617.1
2021-11-02T14:00:00+01:00,4617,4626.2,4614.5,4625.3
2021-11-02T15:00:00+01:00,4625.3,4630.9,4620.9,4629.7
2021-11-02T16:00:00+01:00,4629.7,4636,4626.4,4628.1
2021-11-02T17:00:00+01:00,4628,4634.6,4624.6,4633
2021-11-02T18:00:00+01:00,4633.1,4634.2,4626.7,4630
2021-11-02T19:00:00+01:00,4630.1,4632.9,4625.8,4632.7
2021-11-02T20:00:00+01:00,4632.5,4634.1,4627.7,4632.5
2021-11-02T21:00:00+01:00,4632.7,4633,4629,4630.5
2021-11-02T23:00:00+01:00,4630,4630.7,4628.4,4628.5
2021-11-03T00:00:00+01:00,4628.6,4629.6,4627.9,4628.3
2021-11-03T01:00:00+01:00,4628.2,4629.7,4626.7,4629.4
2021-11-03T02:00:00+01:00,4629.5,4633.7,4629,4630.6
2021-11-03T03:00:00+01:00,4630.5,4630.6,4628.3,4628.6
2021-11-03T04:00:00+01:00,4628.5,4629.2,4627,4627.3
2021-11-03T05:00:00+01:00,4627.4,4628.2,4627,4627.7
2021-11-03T06:00:00+01:00,4627.7,4628.2,4626,4626.5
2021-11-03T07:00:00+01:00,4626.6,4629.3,4625.8,4627.3
2021-11-03T08:00:00+01:00,4627.3,4629,4626.6,4628.3
2021-11-03T09:00:00+01:00,4628.3,4632,4627.3,4630.7
2021-11-03T10:00:00+01:00,4630.7,4632.8,4629.8,4630.9
2021-11-03T11:00:00+01:00,4631.1,4631.8,4627.3,4629.3
2021-11-03T12:00:00+01:00,4629.3,4630.5,4627.5,4629.7
2021-11-03T13:00:00+01:00,4629.7,4629.8,4625.3,4626.1
2021-11-03T14:00:00+01:00,4626,4629.3,4622.2,4627.6
2021-11-03T15:00:00+01:00,4628.8,4629.3,4621.8,4628.4
2021-11-03T16:00:00+01:00,4628.3,4628.8,4624.1,4628.1
2021-11-03T17:00:00+01:00,4628,4629,4625.8,4626.8
2021-11-03T18:00:00+01:00,4626.7,4627.8,4623.4,4625
2021-11-03T19:00:00+01:00,4625.1,4656.1,4621.9,4653.3
2021-11-03T20:00:00+01:00,4653.3,4665.4,4651.3,4661.5
2021-11-03T21:00:00+01:00,4661.5,4661.6,4658.3,4660.8
2021-11-03T23:00:00+01:00,4660.9,4664.7,4660.3,4664
2021-11-04T00:00:00+01:00,4664.2,4668.9,4664,4667.7
2021-11-04T01:00:00+01:00,4667.7,4667.7,4667.5,4667.5
2021-11-04T02:00:00+01:00,4661.2,4662.7,4659.2,4660
2021-11-04T03:00:00+01:00,4659.9,4662.7,4659.8,4662.5
2021-11-04T04:00:00+01:00,4662.3,4662.6,4660,4660.3
2021-11-04T05:00:00+01:00,4660.2,4662.7,4660.2,4661.5
2021-11-04T06:00:00+01:00,4661.4,4662.2,4659.7,4659.8
2021-11-04T07:00:00+01:00,4659.9,4663.5,4659.3,4662.4
2021-11-04T08:00:00+01:00,4662.4,4665,4662,4663.5
2021-11-04T09:00:00+01:00,4663.5,4670.8,4663.2,4664.5
2021-11-04T10:00:00+01:00,4664.5,4666.5,4663.2,4664.8
2021-11-04T11:00:00+01:00,4664.9,4668.2,4663.5,4667.5
2021-11-04T12:00:00+01:00,4667.5,4668.5,4665.2,4665.9
2021-11-04T13:00:00+01:00,4665.9,4670.7,4664.5,4666.7
2021-11-04T14:00:00+01:00,4666.8,4678.7,4663.2,4676.6
2021-11-04T15:00:00+01:00,4676.7,4683,4675.3,4678
2021-11-04T16:00:00+01:00,4678.1,4678.1,4664.9,4675.4
2021-11-04T17:00:00+01:00,4675.3,4677.9,4670,4672.4
2021-11-04T18:00:00+01:00,4672.3,4677.1,4668,4676.2
2021-11-04T19:00:00+01:00,4676.2,4676.6,4669,4670.9
2021-11-04T20:00:00+01:00,4670.9,4682.7,4668.6,4682.5
2021-11-04T21:00:00+01:00,4682.5,4685.1,4679.3,4681.2
2021-11-04T23:00:00+01:00,4680,4683.8,4678.6,4682.8
2021-11-05T00:00:00+01:00,4682.8,4685.5,4681.2,4685.1
2021-11-05T01:00:00+01:00,4685,4685.3,4678.8,4680.7
2021-11-05T02:00:00+01:00,4680.6,4682,4676.8,4677.9
2021-11-05T03:00:00+01:00,4677.8,4681.6,4677.2,4680.3
2021-11-05T04:00:00+01:00,4680.4,4681.5,4678.8,4680.8
2021-11-05T05:00:00+01:00,4680.7,4682.6,4680.4,4682.1
2021-11-05T06:00:00+01:00,4682,4682.5,4681,4681.3
2021-11-05T07:00:00+01:00,4681.3,4681.8,4679.3,4680.5
2021-11-05T08:00:00+01:00,4680.6,4680.7,4675.5,4678.3
2021-11-05T09:00:00+01:00,4678.3,4684.5,4678.3,4682
2021-11-05T10:00:00+01:00,4682.1,4691.6,4682.1,4690.8
2021-11-05T11:00:00+01:00,4690.9,4693.6,4690.3,4693.5
2021-11-05T12:00:00+01:00,4693.4,4695.5,4688.5,4692.2
2021-11-05T13:00:00+01:00,4692.3,4705,4690.6,4701.8
2021-11-05T14:00:00+01:00,4701.8,4717,4700.3,4715.7
2021-11-05T15:00:00+01:00,4715.8,4719.6,4711.3,4714.4
2021-11-05T16:00:00+01:00,4714.4,4716.3,4706.4,4706.5
2021-11-05T17:00:00+01:00,4706.5,4710,4700.8,4702.5
2021-11-05T18:00:00+01:00,4702.5,4704.2,4682.2,4694.8
2021-11-05T19:00:00+01:00,4694.8,4700.9,4692.8,4699.6
2021-11-05T20:00:00+01:00,4699.7,4704.6,4692.7,4697.9
2021-11-05T21:00:00+01:00,4698,4698.8,4691.3,4693.8
2021-11-08T00:00:00+01:00,4694.2,4697.7,4690.3,4692.7
2021-11-08T01:00:00+01:00,4692.6,4693.3,4687.6,4689.3
2021-11-08T02:00:00+01:00,4689.4,4692.8,4684.7,4686.5
2021-11-08T03:00:00+01:00,4686.5,4689.5,4685.5,4688.4
2021-11-08T04:00:00+01:00,4688.4,4689.2,4687.6,4688.3
2021-11-08T05:00:00+01:00,4688.2,4689.2,4686.8,4687.7
2021-11-08T06:00:00+01:00,4687.6,4692.5,4687.3,4691.8
2021-11-08T07:00:00+01:00,4691.8,4693.2,4688.5,4689.5
2021-11-08T08:00:00+01:00,4689.6,4693.5,4688.4,4692.2
2021-11-08T09:00:00+01:00,4692,4698.7,4691.1,4697.9
2021-11-08T10:00:00+01:00,4697.8,4702.2,4697.4,4699.6
2021-11-08T11:00:00+01:00,4699.6,4702.6,4698.1,4700.9
2021-11-08T12:00:00+01:00,4701,4702.7,4700.2,4702.1
2021-11-08T13:00:00+01:00,4702,4702.9,4699.4,4700.4
2021-11-08T14:00:00+01:00,4700.3,4708.2,4700.2,4708.2
2021-11-08T15:00:00+01:00,4708.1,4715.2,4703.2,4707.2
2021-11-08T16:00:00+01:00,4707.2,4710.7,4699.6,4703.6
2021-11-08T17:00:00+01:00,4703.6,4706.4,4698.1,4699.3
2021-11-08T18:00:00+01:00,4699.4,4700.7,4695,4698.9
2021-11-08T19:00:00+01:00,4699,4704.1,4697.4,4703.2
2021-11-08T20:00:00+01:00,4703.1,4707.4,4701.8,4707.4
2021-11-08T21:00:00+01:00,4707.4,4707.4,4698.2,4702.2
2021-11-08T22:00:00+01:00,4702.4,4703.7,4696.7,4699.4
2021-11-09T00:00:00+01:00,4699.1,4699.8,4695.3,4696.4
2021-11-09T01:00:00+01:00,4696.4,4697.5,4689.4,4690
2021-11-09T02:00:00+01:00,4690,4691.5,4688,4689.6
2021-11-09T03:00:00+01:00,4689.5,4693.3,4689.4,4692.4
2021-11-09T04:00:00+01:00,4692.5,4692.8,4687.7,4689.1
2021-11-09T05:00:00+01:00,4689.1,4690.5,4688.5,4689.5
2021-11-09T06:00:00+01:00,4689.7,4695.5,4689.5,4695.1
2021-11-09T07:00:00+01:00,4695.3,4696.5,4694.4,4695.4
2021-11-09T08:00:00+01:00,4695.4,4697.2,4693.3,4694
2021-11-09T09:00:00+01:00,4694,4703.4,4692.8,4702
2021-11-09T10:00:00+01:00,4702,4703.2,4699,4702.5
2021-11-09T11:00:00+01:00,4702.5,4704.9,4702.4,4702.9
2021-11-09T12:00:00+01:00,4702.9,4704.8,4701.8,4702.9
2021-11-09T13:00:00+01:00,4702.9,4703.6,4694.5,4696.4
2021-11-09T14:00:00+01:00,4696.3,4704.7,4695.5,4702.8
2021-11-09T15:00:00+01:00,4702.8,4708.1,4677,4681.8
2021-11-09T16:00:00+01:00,4681.9,4692.4,4674,4685.2
2021-11-09T17:00:00+01:00,4685,4688.9,4675.5,4678.3
2021-11-09T18:00:00+01:00,4678.4,4684.3,4671.3,4679.1
2021-11-09T19:00:00+01:00,4679.1,4683.8,4672,4674.3
2021-11-09T20:00:00+01:00,4674.2,4683.9,4673,4683.6
2021-11-09T21:00:00+01:00,4683.8,4687.4,4677.8,4686.2
2021-11-09T22:00:00+01:00,4686.4,4686.9,4681.8,4682.7
2021-11-10T00:00:00+01:00,4680.2,4680.9,4677.7,4678.5
2021-11-10T01:00:00+01:00,4678.4,4681.6,4675.4,4675.7
2021-11-10T02:00:00+01:00,4675.6,4678,4672.6,4675.9
