time,open,high,low,close,Higher Low,Higher High,Lower Low,Lower High,Upper Boundary: Far,Upper Boundary: Average,Upper Boundary: Near,Nadaraya-Watson Estimation,Lower Boundary: Near,Lower Boundary: Average,Lower Boundary: Far,Plot,Plot,Plot,Plot,TVC:US02Y: Open,TVC:US02Y: High,TVC:US02Y: Low,TVC:US02Y: Close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2021-11-29T10:00:00Z,1.12861,1.1294,1.12816,1.1285,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4579,4196.2,54.46842836168535,54.12929404754971,NaN,NaN
2021-11-29T11:00:00Z,1.1285,1.12948,1.1285,1.12924,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3894,3758.05,57.99620629927951,53.310130238327034,NaN,NaN
2021-11-29T12:00:00Z,1.12924,1.12942,1.12785,1.12795,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4940,3485.2,50.63154982746135,52.39905558807772,NaN,NaN
2021-11-29T13:00:00Z,1.12795,1.12843,1.12618,1.12624,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8224,3637.5,42.861688513553204,51.26262679222441,NaN,NaN
2021-11-29T14:00:00Z,1.12624,1.12754,1.12583,1.1261,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9696,3983.25,42.28949730977792,50.2129824516329,NaN,NaN
2021-11-29T15:00:00Z,1.1261,1.12757,1.126,1.12664,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9428,4418.45,45.321561639622395,49.585573396576265,NaN,NaN
2021-11-29T16:00:00Z,1.12664,1.12716,1.12589,1.12624,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5763,4687.15,43.49847019778578,48.88374225916929,NaN,NaN
2021-11-29T17:00:00Z,1.12624,1.12702,1.12586,1.12683,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3093,4815.05,46.89191604648888,48.49080218230747,NaN,NaN
2021-11-29T18:00:00Z,1.12683,1.12754,1.12676,1.12678,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2237,4902.9,46.63628866319062,48.40853717280269,NaN,NaN
2021-11-29T19:00:00Z,1.12678,1.12756,1.12656,1.12732,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2297,4900.95,49.818034620740136,48.342354669553934,NaN,NaN
