time,open,high,low,close,ATR,Plot,Plot,Plot,Plot,Basis,Upper,Lower,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA,K,D,Bollinger Bands %B
2018-09-12T17:00:00Z,1.16296,1.16412,1.1623,1.16256,0.003026972546778508,1.1600407877383818,1.160277046017566,1.1596082253984485,1.1597759843581126,1.158973,1.1632902542223258,1.1546557457776743,NaN,NaN,1.15874,1.165,NaN,NaN,NaN,NaN,NaN,NaN,81.19855598102372,72.0451422813888,0.9154260804761739
2018-09-12T21:00:00Z,1.16256,1.16361,1.1624,1.1635,0.0028971887934371816,1.1603702365252027,1.1604034363698184,1.1596852902420436,1.1598130392401214,1.159343,1.1638749977957963,1.1548110022042037,NaN,NaN,NaN,NaN,NaN,NaN,1.1624,1.16361,NaN,NaN,96.95360515060764,83.94142895055647,0.9586277605712715
2018-09-13T01:00:00Z,1.1635,1.16432,1.16228,1.1623,0.002835961022477386,1.1605540235228025,1.1604778114141392,1.1597370666728941,1.159837785118329,1.1596905,1.1640051192209064,1.1553758807790935,NaN,NaN,NaN,NaN,1.16228,1.16432,1.16228,1.16432,NaN,NaN,88.01437785431226,88.7221796619812,0.8024021201402693
2018-09-13T05:00:00Z,1.1623,1.16328,1.16146,1.1615,0.0027633923780147267,1.1606441165206307,1.1605178972410357,1.159771976243728,1.159854324569888,1.159943,1.1640558583760574,1.1558301416239425,NaN,NaN,NaN,NaN,1.16146,1.16432,1.16146,1.16432,NaN,NaN,76.37877687090914,87.11558662527632,0.689284417020524
2018-09-13T09:00:00Z,1.1615,1.16816,1.16088,1.16789,0.0030860072081565445,1.161334200661523,1.1608069993100147,1.1599327291893968,1.1599342815393419,1.1606005,1.165333691209124,1.155867308790876,1.16088,1.16816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.37877687090912,80.25731053204349,1.2700407270625915
2018-09-13T13:00:00Z,1.16789,1.17014,1.16686,1.16786,0.003099863836145359,1.1619557053604257,1.161083587572367,1.1600897048490126,1.1600131444095971,1.1611394999999998,1.1665526598003058,1.1557263401996938,1.16088,1.17014,1.16686,1.17014,NaN,NaN,NaN,NaN,NaN,NaN,85.17219341295589,79.30991571825804,1.1207557367528889
2018-09-13T17:00:00Z,1.16786,1.16944,1.16758,1.16906,0.0030113021335635456,1.162632304849909,1.1613963880597251,1.1602673344559629,1.1601031628731833,1.1615775,1.1679760025608894,1.1551789974391105,NaN,NaN,1.16686,1.17014,NaN,NaN,NaN,NaN,NaN,NaN,99.85418924575136,87.13505317653876,1.0847071192669724
2018-09-13T21:00:00Z,1.16906,1.16963,1.16866,1.1691,0.002865494838309001,1.1632482758165843,1.1616984904887555,1.1604422387241615,1.1601926836406142,1.1620234999999999,1.1691699796244073,1.1548770203755925,NaN,NaN,NaN,NaN,NaN,NaN,1.16866,1.16963,NaN,NaN,99.85418924575136,94.96019063481951,0.995103909331229
2018-09-14T01:00:00Z,1.1691,1.16976,1.16884,1.16968,0.0027265309212869157,1.1638608209769097,1.1620114908617456,1.1606251646900196,1.160287084798419,1.1625384999999997,1.1703062571424452,1.1547707428575542,NaN,NaN,NaN,NaN,1.16884,1.16976,1.16866,1.16976,NaN,NaN,100,99.9027928305009,0.9596886764763111
2018-09-14T05:00:00Z,1.16968,1.17218,1.16902,1.17062,0.002757492998337854,1.164504552312442,1.1623490794554026,1.1608230822209102,1.1603898998750517,1.1631219999999998,1.171456436035115,1.1547875639648846,NaN,NaN,NaN,NaN,1.16884,1.17218,1.16866,1.17218,NaN,NaN,100,99.95139641525043,0.9498204778589195
