time,open,high,low,close,ATR,Plot,Plot,Plot,Plot
2018-10-11T07:00:00+02:00,0.64753,0.6486,0.64704,0.64814,0.002107608515159167,0.6468587553074365,0.6501135221479214,0.6539868895258033,0.6582592351025385
2018-10-11T11:00:00+02:00,0.64814,0.65231,0.64778,0.65048,0.002280636478362078,0.6472036357543474,0.6501278938283951,0.6539174461688567,0.6581818297781351
2018-10-11T15:00:00+02:00,0.65048,0.65268,0.64976,0.65204,0.0023263053013362176,0.647664241872981,0.6502028783841443,0.6538802690169981,0.6581207170440243
2018-10-11T19:00:00+02:00,0.65204,0.65314,0.65166,0.65239,0.0022658549226693475,0.6481143140755542,0.6502886478592759,0.6538507587394338,0.6580636949838847
2018-10-11T23:00:00+02:00,0.65239,0.6534,0.65193,0.65278,0.002209008142478678,0.6485586651159776,0.6503863479432258,0.6538295555960787,0.6580111209044431
2018-10-12T03:00:00+02:00,0.65278,0.65324,0.65158,0.65192,0.002169793275158772,0.6488787922477892,0.6504464911611385,0.6537917426139781,0.6579505127362397
2018-10-12T07:00:00+02:00,0.65192,0.65242,0.65102,0.65239,0.0021148080412188566,0.649213192986095,0.650522707194035,0.6537639853344934,0.657895184251302
2018-10-12T11:00:00+02:00,0.65239,0.6524,0.65088,0.65117,0.0020723217525603645,0.6493995555588479,0.6505480912256415,0.6537126192882659,0.6578282669950701
2018-10-12T15:00:00+02:00,0.65117,0.65218,0.65026,0.65072,0.0020614416273774835,0.6495253121722909,0.6505548327462046,0.6536533595003794,0.6577575379702436
2018-10-12T19:00:00+02:00,0.65072,0.65154,0.64998,0.65111,0.0020256243682790923,0.6496762348225489,0.6505766040110593,0.6536029959459164,0.6576913933138233
2018-10-14T23:00:00+02:00,0.65111,0.65111,0.64942,0.65056,0.002001651199116298,0.6497604029346871,0.6505759528733708,0.6535427386004528,0.6576204341763723
2018-10-15T03:00:00+02:00,0.65056,0.65088,0.64965,0.6504,0.0019465332563222812,0.6498213169409074,0.6505690527606895,0.6534805061529191,0.6575485890601894
2018-10-15T07:00:00+02:00,0.6504,0.6534,0.6501,0.65332,0.002043209452299259,0.6501545248512972,0.6506769330445841,0.6534773278132573,0.6575065135471527
2018-10-15T11:00:00+02:00,0.65332,0.65476,0.65295,0.65449,0.002026551634277882,0.6505674272464118,0.6508264650820513,0.6534973807278462,0.6574764984869821
2018-10-15T15:00:00+02:00,0.65449,0.65567,0.65368,0.6548,0.0020239408032580288,0.6509705294134203,0.6509822899807944,0.653523175168879,0.657449866661241
2018-10-15T19:00:00+02:00,0.6548,0.65552,0.65429,0.65512,0.001967230745882452,0.6513657170883326,0.6511445531188025,0.6535547954625646,0.6574266839083928
2018-10-15T23:00:00+02:00,0.65512,0.65959,0.6542,0.6579,0.002211714264033706,0.6519880297465867,0.6514094726043397,0.6536408391167712,0.6574313935212446
2018-10-16T03:00:00+02:00,0.6579,0.65805,0.65636,0.65656,0.0021744489594598677,0.652423455485007,0.6516114540708362,0.6536986442827757,0.6574227229389437
2018-10-16T07:00:00+02:00,0.65656,0.65795,0.65599,0.65738,0.002159131176641311,0.6528955073435778,0.6518376715582543,0.65377154241579,0.6574222978350736
2018-10-16T11:00:00+02:00,0.65738,0.65877,0.65696,0.65874,0.0021341932354526443,0.6534521256918085,0.6521083511049894,0.6538699277144873,0.6574354092994011
2018-10-16T15:00:00+02:00,0.65874,0.65968,0.65795,0.6594,0.0021053222900631703,0.6540185899116363,0.65239429812048,0.6539794340963786,0.6574549574655763
2018-10-16T19:00:00+02:00,0.6594,0.65954,0.65828,0.65874,0.0020449421264872323,0.65446824801529,0.6526431491745788,0.6540737027281335,0.6574677439584561
2018-10-16T23:00:00+02:00,0.65874,0.65936,0.65792,0.65924,0.002001731974595287,0.6549227005852624,0.6529018492069483,0.654176005644408,0.6574853783469291
2018-10-17T03:00:00+02:00,0.65924,0.65946,0.65808,0.65831,0.0019573225478384843,0.6552453005295231,0.6531139335517738,0.6542578669187762,0.657493583537507
2018-10-17T07:00:00+02:00,0.65831,0.66019,0.6579,0.65859,0.0019810852229928794,0.6555638433362352,0.6533286812556258,0.6543436517322657,0.6575044931540492
2018-10-17T11:00:00+02:00,0.65859,0.65868,0.65568,0.65688,0.0020538648499219595,0.6556891915899271,0.653467948657366,0.6543938764504387,0.6574982792918199
2018-10-17T15:00:00+02:00,0.65688,0.65804,0.65666,0.65672,0.0020057316463561008,0.6557873638194579,0.6535954800825673,0.6544399383029053,0.6574905352192645
2018-10-17T19:00:00+02:00,0.65672,0.65692,0.65466,0.65508,0.002023893671616374,0.6557199958366524,0.6536536965499176,0.6544526127919567,0.6574665497941972
2018-10-17T23:00:00+02:00,0.65508,0.65544,0.65346,0.65406,0.00202075840935806,0.6555619009950665,0.6536696300185483,0.6544448382812248,0.6574326537763444
2018-10-18T03:00:00+02:00,0.65406,0.65564,0.65362,0.6555,0.0020207042372610575,0.6555560056622031,0.6537414092335072,0.6544657325726857,0.6574134233905101
2018-10-18T07:00:00+02:00,0.6555,0.65692,0.6546,0.65679,0.002042082506028124,0.6556735289324694,0.6538609618125854,0.6545117576702563,0.6574072201726942
2018-10-18T11:00:00+02:00,0.65679,0.65778,0.65627,0.65654,0.002004076612740402,0.6557560499865199,0.6539660221336604,0.6545519208847066,0.6573985911162494
2018-10-18T15:00:00+02:00,0.65654,0.65707,0.65496,0.65508,0.0020116425689732345,0.655691664273518,0.6540097075401835,0.6545623778968906,0.6573755205578788
2018-10-18T19:00:00+02:00,0.65508,0.65516,0.65414,0.65428,0.0019408109569037115,0.6555572200569925,0.65402030724449,0.6545567862553681,0.657344719358298
2018-10-18T23:00:00+02:00,0.65428,0.6547,0.65235,0.6544,0.001970038745696301,0.6554470086229932,0.6540351971564707,0.654553681577044,0.6573154186681657
2018-10-19T03:00:00+02:00,0.6544,0.65667,0.65435,0.65608,0.0019950359781465642,0.6555072935160414,0.6541153855032759,0.6545839057042312,0.6573031259450993
2018-10-19T07:00:00+02:00,0.65608,0.65816,0.65596,0.65778,0.0020096762654218084,0.655723741752609,0.6542590958756964,0.6546471947001871,0.657307870960571
2018-10-19T11:00:00+02:00,0.65778,0.66038,0.65772,0.65996,0.0020561279607488217,0.6561271949190272,0.6544826607433162,0.6547523987655299,0.6573342603042469
2018-10-19T15:00:00+02:00,0.65996,0.66076,0.6587,0.65916,0.002056404534981053,0.6564160334981675,0.6546660858122058,0.6548396779978957,0.6573524268683838
2018-10-19T19:00:00+02:00,0.65916,0.65957,0.65839,0.65909,0.001993804211053832,0.6566706969745325,0.6548395726430997,0.6549238427900166,0.6573697161532756
2018-10-21T23:00:00+02:00,0.65909,0.6612,0.6582,0.65852,0.002065675338835701,0.656846821072196,0.654983903127684,0.6549950538238777,0.6573811617636908
2018-10-22T03:00:00+02:00,0.65852,0.66005,0.65814,0.659,0.0020545556717760137,0.6570518857319869,0.6551413971226767,0.6550743596887514,0.6573972696068381
2018-10-22T07:00:00+02:00,0.659,0.65991,0.65838,0.65871,0.0020170874095063007,0.6572098013765596,0.6552813423335522,0.6551463525662019,0.6574103316007999
2018-10-22T11:00:00+02:00,0.65871,0.65873,0.6568,0.65726,0.0020108668802558496,0.6572145821978397,0.6553589367518442,0.6551882069708316,0.657408835763976
2018-10-22T15:00:00+02:00,0.65726,0.65748,0.65434,0.65513,0.002091519245951855,0.6570160505599502,0.6553499588400071,0.6551870543575478,0.6573861607812499
2018-10-22T19:00:00+02:00,0.65513,0.65562,0.65496,0.6554,0.0019892678712410076,0.656862140982812,0.6553519212384382,0.6551912711029428,0.6573663979874066
2018-10-22T23:00:00+02:00,0.6554,0.65594,0.65446,0.65476,0.0019528915947237874,0.6566619370796871,0.6553287086408524,0.6551827310811024,0.6573404636790742
