time,open,high,low,close,ATR
2018-10-04T15:00:00+02:00,0.70916,0.70944,0.70703,0.70706,0.002288474459140314
2018-10-04T19:00:00+02:00,0.70706,0.70794,0.70656,0.70786,0.0022235834263445806
2018-10-04T23:00:00+02:00,0.70786,0.70842,0.70715,0.7072,0.002155470324462832
2018-10-05T03:00:00+02:00,0.7072,0.7083,0.70622,0.70679,0.002150079587001207
2018-10-05T07:00:00+02:00,0.70679,0.70727,0.70542,0.70648,0.0021286453307868282
2018-10-05T11:00:00+02:00,0.70648,0.70862,0.70524,0.70831,0.002218027807159201
2018-10-05T15:00:00+02:00,0.70831,0.70874,0.70424,0.70468,0.0023810258209335483
2018-10-05T19:00:00+02:00,0.70468,0.70566,0.70432,0.70526,0.0023066668337240093
2018-10-07T23:00:00+02:00,0.70526,0.70612,0.70461,0.705,0.002249762059886581
2018-10-08T03:00:00+02:00,0.705,0.70616,0.70458,0.70578,0.002201921912751827
2018-10-08T07:00:00+02:00,0.70578,0.70644,0.70414,0.7053,0.002208927490412409
2018-10-08T11:00:00+02:00,0.7053,0.70726,0.70512,0.70593,0.002204004098240096
2018-10-08T15:00:00+02:00,0.70593,0.7078,0.7058,0.70658,0.002189432376937232
2018-10-08T19:00:00+02:00,0.70658,0.70817,0.7065,0.70776,0.002152330064298855
2018-10-08T23:00:00+02:00,0.70776,0.70816,0.7066,0.70794,0.002110020773991794
2018-10-09T03:00:00+02:00,0.70794,0.70938,0.70759,0.70892,0.0020871621472780917
2018-10-09T07:00:00+02:00,0.70892,0.7091,0.7067,0.70763,0.0021095077081867966
2018-10-09T11:00:00+02:00,0.70763,0.70768,0.7054,0.70602,0.002121685729030593
2018-10-09T15:00:00+02:00,0.70602,0.70944,0.70552,0.70874,0.002250136748385545
2018-10-09T19:00:00+02:00,0.70874,0.7106,0.70849,0.71029,0.0022401269806437245
2018-10-09T23:00:00+02:00,0.71029,0.71232,0.70996,0.71217,0.002248689339169167
2018-10-10T03:00:00+02:00,0.71217,0.71267,0.71142,0.71177,0.0021773543863713675
2018-10-10T07:00:00+02:00,0.71177,0.71306,0.709,0.70906,0.0023118290730591317
2018-10-10T11:00:00+02:00,0.70906,0.7106,0.7087,0.7098,0.002282412710697766
2018-10-10T15:00:00+02:00,0.7098,0.71103,0.70895,0.71005,0.002267954659933646
2018-10-10T19:00:00+02:00,0.71005,0.71024,0.70434,0.70563,0.0025273864699383863
2018-10-10T23:00:00+02:00,0.70563,0.70747,0.70458,0.7071,0.002553287436371363
2018-10-11T03:00:00+02:00,0.7071,0.70798,0.70625,0.70708,0.002494481190916266
2018-10-11T07:00:00+02:00,0.70708,0.70939,0.70659,0.7087,0.0025163039629936693
2018-10-11T11:00:00+02:00,0.7087,0.71292,0.70805,0.7106,0.0026844251084941245
2018-10-11T15:00:00+02:00,0.7106,0.71252,0.70981,0.71144,0.0026862518864588293
2018-10-11T19:00:00+02:00,0.71144,0.71245,0.71016,0.71234,0.0026579481802831996
2018-10-11T23:00:00+02:00,0.71234,0.7131,0.71176,0.71274,0.002563809024548686
2018-10-12T03:00:00+02:00,0.71274,0.71293,0.71154,0.71228,0.0024799655227952084
2018-10-12T07:00:00+02:00,0.71228,0.71294,0.71114,0.71216,0.0024313965568812665
2018-10-12T11:00:00+02:00,0.71216,0.7134,0.71158,0.71277,0.0023877253742468937
2018-10-12T15:00:00+02:00,0.71277,0.714,0.7104,0.71082,0.00247431641894354
